id|name|type|edition|version|errata_date|errata_link|
000000285|Boarding Actions|Expansion|10|1.1|09.07.2025 0:00:00|https://assets.warhammer-community.com/eng_09-07_warhammer40000_other_rules_boarding_actions_companion-hyatd8cog7-wpqvdzf1mt.pdf|
000000166|Balance Dataslate|Rulebook|10|3.4|04.03.2026 0:00:00|https://assets.warhammer-community.com/eng_04-03_wh40k_core&key_balance_dataslate-ysn1jjtd9x-qogz1pqkky.pdf|
000000233|Munitorum Field Manual|Expansion|11|1.4|01.01.0001 0:00:00|https://mfm.warhammer-community.com/|
000000259|Imperial Agents|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_imperia_agents-fttx9vrxuj-jug1nycmjn.pdf|
000000016|Astra Militarum|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_astra_militarum-o51zhqvsvy-wdobxbf6t0.pdf|
000000053|Genestealer Cults|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_genestealer_cults-vmkwgeydbr-sh7picbeqo.pdf|
000000029|Necrons|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_necrons-eweoek106p-nqomxds3qr.pdf|
000000186|Aeldari|Faction Pack|11|1.3|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_aeldari-r7ubocxyoz-nhd972kesl.pdf|
000000270|Adeptus Titanicus (Forge World)|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_adeptus_titanicus-pkhrobh6xn-nmtoszeaxw.pdf|
000000046|Orks|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_orks-bk9eqvzbeq-rkrvgfwe8b.pdf|
000000013|Grey Knights|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_grey_knights-dlzvusufhy-uialb3pko4.pdf|
