leader_id|attached_id|
000000584|000000590|
000002266|000003698|
000001447|000001559|
000004069|000004064|
000004068|000004064|
000004227|000000021|
000000083|000000165|
000000846|000000845|
000004173|000002767|
000000073|000002780|
000001553|000000896|
000002291|000000241|
000001553|000000909|
000001126|000001125|
000000630|000000615|
000003715|000000512|
000003715|000000513|
000003715|000003716|
000003715|000000511|
000002793|000001154|
000002100|000000071|
000002266|000001606|
000000010|000000027|
000003845|000003850|
000004136|000002798|
000004161|000004164|
000002535|000002536|
000000073|000002799|
000002542|000003916|
000000140|000000070|
000002542|000000590|
000002542|000000589|
000002542|000002531|
000002542|000002532|
000002543|000002532|
000002543|000000589|
000002543|000002531|
000002543|000000590|
000002543|000003916|
000004136|000002799|
000001611|000002255|
000001370|000001044|
000004198|000004169|
000004204|000002103|
000003845|000003856|
000000121|000001157|
000001579|000003822|
000003702|000002588|
000000877|000003818|
000000148|000001154|
000003871|000004175|
000000121|000000061|
000002707|000000064|
000003872|000002783|
000000158|000002202|
000000140|000000324|
000000460|000000471|
000000461|000000471|
000000462|000000490|
000000463|000000467|
000000507|000000515|
000000508|000000512|
000000508|000000513|
000000508|000003716|
000000508|000000511|
000000509|000003716|
000000509|000000511|
000000509|000000512|
000000509|000000513|
000000510|000000512|
000000510|000000513|
000000510|000003716|
000000510|000000511|
000000522|000000534|
000000522|000000536|
000000522|000000535|
000000523|000000534|
000000523|000000535|
000000523|000000536|
000000524|000000534|
000000524|000000535|
000000524|000000536|
000000527|000000534|
000000527|000000536|
000000527|000000535|
000000528|000000534|
000000528|000000535|
000000528|000000536|
000000530|000000534|
000000530|000000535|
000000531|000000535|
000000532|000000534|
000000532|000000535|
000000532|000000536|
000000568|000000589|
000000568|000000590|
000004135|000002799|
000002701|000002779|
000004194|000002532|
000004194|000002531|
000000570|000000592|
000000571|000000593|
000000572|000000594|
000000573|000000595|
000000574|000000596|
000000575|000000600|
000000576|000000607|
000000577|000000595|
000000577|000000590|
000000577|000000594|
000000577|000000589|
000000577|000000596|
000000577|000000593|
000000577|000000607|
000000580|000000591|
000000582|000000590|
000000148|000000061|
000000585|000000590|
000000585|000000589|
000000439|000000443|
000001649|000001142|
000002088|000002523|
000002088|000002522|
000002088|000002521|
000001565|000001574|
000001567|000000512|
000001567|000000513|
000001567|000003716|
000001567|000000511|
000001568|000000511|
000001568|000003716|
000001568|000000512|
000001568|000000513|
000001571|000000511|
000001571|000003716|
000001571|000000512|
000001571|000000513|
000001572|000000512|
000001572|000000513|
000001572|000000511|
000001572|000003716|
000001572|000000514|
000001579|000004174|
000002702|000002712|
000002064|000002507|
000001553|000004075|
000002480|000004189|
000002064|000000909|
000001579|000003825|
000000063|000000116|
000002479|000002483|
000001553|000002507|
000000902|000004189|
000000901|000004189|
000002480|000000903|
000002063|000000894|
000001182|000000116|
000002482|000004189|
000004204|000000064|
000002482|000000909|
000000899|000004189|
000000902|000000903|
000000140|000004175|
000000876|000002685|
000002350|000000534|
000002350|000000535|
000002351|000002116|
000002351|000002359|
000002352|000000534|
000002352|000000535|
000002352|000000546|
000002353|000000534|
000002353|000000535|
000002354|000000534|
000002354|000000535|
000004190|000004191|
000003943|000003977|
000001581|000000953|
000000942|000004191|
000003871|000002783|
000000164|000003837|
000001589|000001142|
000002775|000004137|
000004072|000004043|
000001579|000002767|
000000877|000002685|
000002678|000002103|
000001344|000000324|
000003812|000004074|
000000877|000004174|
000001346|000002780|
000000877|000002767|
000002775|000002783|
000002701|000002806|
000000148|000000315|
000002707|000004137|
000004238|000004235|
000004183|000001154|
000001579|000002587|
000002234|000002799|
000002677|000003873|
000002468|000000118|
000004049|000004050|
000000152|000001154|
000000013|000003861|
000000876|000002587|
000000148|000000147|
000002234|000002255|
000000902|000000908|
000000899|000002507|
000000901|000000903|
000002064|000002481|
000002472|000000909|
000002707|000002255|
000002803|000000326|
000002794|000002799|
000001172|000000103|
000004242|000000024|
000004187|000000071|
000000874|000003827|
000002775|000000315|
000004244|000002613|
000000112|000000064|
000000004|000000016|
000003872|000004175|
000002773|000002098|
000002707|000001157|
000002775|000004175|
000004167|000000116|
000002473|000000103|
000000119|000002718|
000002473|000002099|
000000406|000003699|
000000073|000002772|
000003814|000003825|
000004187|000002098|
000000902|000000894|
000002795|000001157|
000002266|000000061|
000004135|000002798|
000001580|000001526|
000003845|000003851|
000001174|000000126|
000002796|000001154|
000000941|000003876|
000002266|000002202|
000002792|000000126|
000000151|000002776|
000002266|000002098|
000001346|000004175|
000000160|000000147|
000002100|000002255|
000004198|000004168|
000002266|000002799|
000001611|000002270|
000002478|000004211|
000004068|000004044|
000002793|000000126|
000002726|000002772|
000002677|000000230|
000004045|000004051|
000001348|000001166|
000004188|000000071|
000000140|000000064|
000004187|000001606|
000000225|000000071|
000000158|000002255|
000001611|000001606|
000000877|000003816|
000002794|000001606|
000002795|000002255|
000002472|000002507|
000000901|000000894|
000000158|000002098|
000000158|000000071|
000002234|000000126|
000003832|000001997|
000004232|000000104|
000002773|000000071|
000000160|000002202|
000004204|000002798|
000002234|000000147|
000002266|000004175|
000000140|000000061|
000001579|000003828|
000004244|000002615|
000004204|000002783|
000003848|000003856|
000002701|000002806|
000003707|000000045|
000000160|000002270|
000000160|000001157|
000003833|000003837|
000000157|000003837|
